CustomerID;Age;Gender;Location;ProductType;PurchaseCount;TotalSpend;AveragePurchaseValue;EngagementScore;FollowDuration;PreferredChannel;CustomerCost;CustomerProfitabilityScore;ROAS;ROI;RFMScore;AverageRFM;Persona;OperatingExpenses;AdditionalCosts;GrossProfit;GrossProfitMargin;OperatingProfit;OperatingProfitMargin;NetProfit;NetProfitMargin;CLTV;LastPurchaseDate;SubscriptionStartDate;SubscriptionEndDate;IsActive;MarketingSpend;ProductCost;SalesRevenue;CustomerAcquisitionDate;CustomerExitDate;CustomerRetentionPeriod;CPA;NumberOfTransactions;CompletionRate
11;28;Female;Europe;Ring;9;1031;1.145.555.556;5.920.261.139;17;Instagram;615.5;415.5;10.31;0.675060926;253;3.333.333.333;Engaged;206.2;103.1;515.5;50;309.3;30;206.2;20;3093;10-11-2022;17-06-2022;;TRUE;1.161.684.288;515.5;1031;06-09-2021;;1.433.333.333;1.161.684.288;9;0.6
12;41;Other;Middle East;Necklace;6;773;1.288.333.333;91.217.173;20;LinkedIn;486.5;286.5;7.73;0.588900308;232;2.333.333.333;Engaged;154.6;77.3;386.5;50;231.9;30;154.6;20;2319;06-03-2023;10-06-2022;;TRUE;9.839.893.682;386.5;773;11-02-2021;;25.1;9.839.893.682;6;0.6
13;53;Other;Middle East;Necklace;5;1836;367.2;4.095.619.179;18;Facebook;1018;818;18.36;0.803536346;235;3.333.333.333;Engaged;367.2;183.6;918;50;550.8;30;367.2;20;5508;12-07-2023;04-10-2022;;TRUE;5.053.134.757;918;1836;26-12-2021;;1.876.666.667;5.053.134.757;5;0.6
14;57;Female;Middle East;Earrings;6;1357;2.261.666.667;7.597.000.965;11;Instagram;778.5;578.5;13.57;0.743095697;434;3.666.666.667;Engaged;271.4;135.7;678.5;50;407.1;30;271.4;20;4071;06-07-2022;26-06-2022;;TRUE;1.304.494.642;678.5;1357;13-09-2021;;9.866.666.667;1.304.494.642;6;0.6
15;41;Other;Europe;Earrings;2;1663;831.5;6.927.952.194;21;LinkedIn;931.5;731.5;16.63;0.785292539;115;2.333.333.333;Engaged;332.6;166.3;831.5;50;498.9;30;332.6;20;4989;17-04-2023;04-08-2022;18-12-2023;FALSE;1.272.809.573;831.5;1663;18-06-2021;18-12-2023;2.226.666.667;1.272.809.573;2;0.6
16;20;Male;Asia;Necklace;4;1134;283.5;9.383.994.229;14;LinkedIn;667;467;11.34;0.700149925;323;2.666.666.667;Engaged;226.8;113.4;567;50;340.2;30;226.8;20;3402;18-07-2022;07-08-2022;21-12-2022;FALSE;1.048.419.163;567;1134;23-04-2021;21-12-2022;1.503.333.333;1.048.419.163;4;0.6
17;39;Male;Europe;Necklace;3;305;1.016.666.667;8.388.829.156;9;LinkedIn;252.5;52.5;3.05;0.207920792;421;2.333.333.333;Engaged;61;30.5;152.5;50;91.5;30;61;20;915;02-02-2024;24-08-2022;;TRUE;5.664.633.258;152.5;305;04-12-2020;;38.5;5.664.633.258;3;0.6
18;19;Female;Middle East;Bracelet;7;1802;2.574.285.714;609.944.733;15;LinkedIn;1001;801;18.02;0.8001998;345;4;Premium;360.4;180.2;901;50;540.6;30;360.4;20;5406;18-08-2022;18-09-2022;;TRUE;126.651.505;901;1802;22-05-2022;;2.933.333.333;126.651.505;7;0.6
19;41;Female;Europe;Ring;9;346;3.844.444.444;6.913.274.484;12;LinkedIn;273;73;3.46;0.267399267;351;3;Engaged;69.2;34.6;173;50;103.8;30;69.2;20;1038;31-01-2024;24-06-2022;;TRUE;1.083.713.588;173;346;01-05-2021;;33.5;1.083.713.588;9;0.6
20;61;Female;Europe;Bracelet;5;1682;336.4;9.085.478.199;10;LinkedIn;941;741;16.82;0.787460149;435;4;Premium;336.4;168.2;841;50;504.6;30;336.4;20;5046;12-02-2023;14-05-2022;;TRUE;1.281.959.977;841;1682;10-09-2020;;29.5;1.281.959.977;5;0.6
21;47;Male;Europe;Earrings;6;857;1.428.333.333;4.595.669.061;19;Facebook;528.5;328.5;8.57;0.621570482;232;2.333.333.333;Engaged;171.4;85.7;428.5;50;257.1;30;171.4;20;2571;19-03-2023;10-04-2022;;TRUE;1.251.746.992;428.5;857;27-01-2022;;1.386.666.667;1.251.746.992;6;0.6
22;55;Other;Asia;Bracelet;2;1250;625;3.941.152.353;24;Facebook;725;525;12.5;0.724137931;114;2;Engaged;250;125;625;50;375;30;250;20;3750;14-08-2023;19-05-2022;;TRUE;1.303.002.072;625;1250;25-06-2020;;3.816.666.667;1.303.002.072;2;0.6
23;19;Male;North America;Bracelet;3;246;82;1.097.299.753;19;Facebook;223;23;2.46;0.103139013;221;1.666.666.667;Standard;49.2;24.6;123;50;73.8;30;49.2;20;738;28-05-2023;12-06-2022;;TRUE;1.018.008.066;123;246;23-09-2020;;3.256.666.667;1.018.008.066;3;0.6
24;38;Female;North America;Bracelet;3;217;7.233.333.333;8.438.959.668;6;Facebook;208.5;8.5;2.17;0.040767386;521;2.666.666.667;Engaged;43.4;21.7;108.5;50;65.1;30;43.4;20;651;30-04-2023;06-09-2022;;TRUE;6.403.245.182;108.5;217;20-07-2022;;9.466.666.667;6.403.245.182;3;0.6
25;50;Other;Europe;Bracelet;9;1505;1.672.222.222;8.208.826.304;20;Instagram;852.5;652.5;15.05;0.765395894;254;3.666.666.667;Engaged;301;150.5;752.5;50;451.5;30;301;20;4515;18-10-2022;08-06-2022;;TRUE;1.171.157.473;752.5;1505;29-01-2022;;8.733.333.333;1.171.157.473;9;0.6
26;29;Other;North America;Ring;7;511;73;1.940.090.663;24;Facebook;355.5;155.5;5.11;0.437412096;142;2.333.333.333;Engaged;102.2;51.1;255.5;50;153.3;30;102.2;20;1533;11-01-2023;12-06-2022;;TRUE;1.120.473.785;255.5;511;14-09-2020;;28.3;1.120.473.785;7;0.6
27;39;Male;North America;Ring;8;1787;223.375;619.171.643;6;LinkedIn;993.5;793.5;17.87;0.798691495;545;4.666.666.667;Premium;357.4;178.7;893.5;50;536.1;30;357.4;20;5361;17-09-2022;11-07-2022;24-10-2023;FALSE;1.242.253.187;893.5;1787;20-06-2021;24-10-2023;1.513.333.333;1.242.253.187;8;0.6
28;61;Female;Europe;Necklace;9;1707;1.896.666.667;5.175.835.284;8;Facebook;953.5;753.5;17.07;0.79024646;455;4.666.666.667;Premium;341.4;170.7;853.5;50;512.1;30;341.4;20;5121;13-07-2023;20-06-2022;;TRUE;6.698.810.061;853.5;1707;26-11-2020;;3.196.666.667;6.698.810.061;9;0.6
29;42;Male;Europe;Earrings;6;462;77;206.838.186;1;Facebook;331;131;4.62;0.395770393;531;3;Engaged;92.4;46.2;231;50;138.6;30;92.4;20;1386;17-02-2023;20-04-2022;;TRUE;6.949.751.999;231;462;17-02-2022;;1.216.666.667;6.949.751.999;6;0.6
30;44;Other;Middle East;Bracelet;4;1632;408;9.825.114.044;22;LinkedIn;916;716;16.32;0.781659389;125;2.666.666.667;Engaged;326.4;163.2;816;50;489.6;30;326.4;20;4896;01-05-2022;23-07-2022;;TRUE;1.390.409.517;816;1632;07-11-2021;;5.833.333.333;1.390.409.517;4;0.6
31;59;Male;North America;Necklace;1;236;236;2.932.262.987;17;Facebook;218;18;2.36;0.082568807;211;1.333.333.333;Standard;47.2;23.6;118;50;70.8;30;47.2;20;708;18-12-2022;23-04-2022;27-08-2023;FALSE;1.249.977.798;118;236;17-10-2020;27-08-2023;26.4;1.249.977.798;1;0.6
32;45;Male;Asia;Necklace;8;1298;162.25;1.605.107.621;17;Facebook;749;549;12.98;0.732977303;244;3.333.333.333;Engaged;259.6;129.8;649;50;389.4;30;259.6;20;3894;22-10-2023;08-06-2022;;TRUE;1.408.228.489;649;1298;18-08-2020;;3.866.666.667;1.408.228.489;8;0.6
33;33;Female;Europe;Necklace;7;1412;2.017.142.857;6.353.626.416;24;Facebook;806;606;14.12;0.751861042;144;3;Engaged;282.4;141.2;706;50;423.6;30;282.4;20;4236;28-07-2023;09-05-2022;23-08-2023;FALSE;1.258.715.321;706;1412;06-11-2021;23-08-2023;2.096.666.667;1.258.715.321;7;0.6
34;32;Female;Middle East;Ring;2;1057;528.5;7.649.800.094;15;Instagram;628.5;428.5;10.57;0.681782021;313;2.333.333.333;Engaged;211.4;105.7;528.5;50;317.1;30;211.4;20;3171;07-06-2022;14-05-2022;;TRUE;1.097.155.306;528.5;1057;16-02-2021;;1.586.666.667;1.097.155.306;2;0.6
35;64;Other;Asia;Bracelet;8;1604;200.5;1.291.991.014;7;Facebook;902;702;16.04;0.77827051;445;4.333.333.333;Premium;320.8;160.4;802;50;481.2;30;320.8;20;4812;02-09-2023;21-09-2022;;TRUE;1.154.132.737;802;1604;20-12-2021;;20.7;1.154.132.737;8;0.6
36;61;Male;North America;Bracelet;5;118;23.6;6.928.458.749;19;LinkedIn;159;-41;1.18;-0.257861635;231;2;Engaged;23.6;11.8;59;50;35.4;30;23.6;20;354;20-02-2024;14-04-2022;;TRUE;1.389.127.924;59;118;04-02-2021;;3.703.333.333;1.389.127.924;5;0.6
37;20;Male;Middle East;Earrings;7;294;42;5.790.626.884;22;LinkedIn;247;47;2.94;0.190283401;141;2;Engaged;58.8;29.4;147;50;88.2;30;58.8;20;882;29-07-2023;01-07-2022;04-07-2023;FALSE;1.078.806.755;147;294;08-12-2020;04-07-2023;32.1;1.078.806.755;7;0.6
38;54;Male;Europe;Bracelet;4;429;107.25;192.938.508;23;Facebook;314.5;114.5;4.29;0.364069952;121;1.333.333.333;Standard;85.8;42.9;214.5;50;128.7;30;85.8;20;1287;09-03-2024;10-08-2022;;TRUE;1.132.391.324;214.5;429;01-02-2022;;2.556.666.667;1.132.391.324;4;0.6
39;24;Other;Asia;Bracelet;5;274;54.8;2.552.714.893;3;Facebook;237;37;2.74;0.156118143;531;3;Engaged;54.8;27.4;137;50;82.2;30;54.8;20;822;16-10-2022;26-06-2022;;TRUE;656.476.716;137;274;31-01-2022;;8.6;656.476.716;5;0.6
40;38;Other;Europe;Necklace;8;1101;137.625;6.111.768.676;22;Facebook;650.5;450.5;11.01;0.692544197;143;2.666.666.667;Engaged;220.2;110.1;550.5;50;330.3;30;220.2;20;3303;25-02-2024;10-09-2022;13-05-2023;FALSE;9.739.212.201;550.5;1101;14-11-2021;13-05-2023;2.776.666.667;9.739.212.201;8;0.6
41;26;Female;North America;Earrings;1;548;548;3.667.218.522;11;LinkedIn;374;174;5.48;0.465240642;412;2.333.333.333;Engaged;109.6;54.8;274;50;164.4;30;109.6;20;1644;24-10-2023;10-06-2022;11-12-2022;FALSE;1.216.397.112;274;548;19-06-2020;11-12-2022;4.073.333.333;1.216.397.112;1;0.6
42;56;Female;Asia;Bracelet;1;1045;1045;9.444.841.558;20;LinkedIn;622.5;422.5;10.45;0.678714859;213;2;Engaged;209;104.5;522.5;50;313.5;30;209;20;3135;28-10-2023;19-08-2022;;TRUE;7.709.426.983;522.5;1045;21-03-2021;;31.7;7.709.426.983;1;0.6
43;35;Female;North America;Ring;4;1477;369.25;8.368.662.065;19;Instagram;838.5;638.5;14.77;0.761478831;224;2.666.666.667;Engaged;295.4;147.7;738.5;50;443.1;30;295.4;20;4431;09-12-2022;07-07-2022;;TRUE;7.022.541.805;738.5;1477;18-12-2021;;1.186.666.667;7.022.541.805;4;0.6
44;21;Male;North America;Bracelet;3;1622;5.406.666.667;9.852.104.859;9;Instagram;911;711;16.22;0.780461032;425;3.666.666.667;Engaged;324.4;162.2;811;50;486.6;30;324.4;20;4866;27-08-2023;21-05-2022;;TRUE;8.138.268.082;811;1622;22-07-2021;;2.553.333.333;8.138.268.082;3;0.6
45;42;Male;Middle East;Necklace;2;240;120;3.337.037.551;10;Instagram;220;20;2.4;0.090909091;411;2;Engaged;48;24;120;50;72;30;48;20;720;18-08-2022;07-07-2022;;TRUE;741.500.628;120;240;22-09-2021;;11;741.500.628;2;0.6
46;31;Female;Europe;Ring;3;857;2.856.666.667;9.727.512.695;2;LinkedIn;528.5;328.5;8.57;0.621570482;522;3;Engaged;171.4;85.7;428.5;50;257.1;30;171.4;20;2571;07-08-2023;02-09-2022;22-12-2022;FALSE;714.912.637;428.5;857;22-03-2022;22-12-2022;1.676.666.667;714.912.637;3;0.6
47;26;Male;Asia;Necklace;1;1029;1029;4.881.104.828;1;Instagram;614.5;414.5;10.29;0.67453214;513;3;Engaged;205.8;102.9;514.5;50;308.7;30;205.8;20;3087;16-01-2024;19-05-2022;;TRUE;9.248.508.429;514.5;1029;06-06-2020;;4.396.666.667;9.248.508.429;1;0.6
48;43;Female;North America;Bracelet;1;192;192;4.127.669.158;16;Facebook;196;-4;1.92;-0.020408163;311;1.666.666.667;Standard;38.4;19.2;96;50;57.6;30;38.4;20;576;30-04-2022;20-06-2022;;TRUE;1.407.838.514;96;192;26-03-2021;;1.333.333.333;1.407.838.514;1;0.6
49;19;Other;North America;Ring;6;338;5.633.333.333;1.453.145.743;18;Facebook;269;69;3.38;0.256505576;231;2;Engaged;67.6;33.8;169;50;101.4;30;67.6;20;1014;23-09-2022;18-05-2022;;TRUE;1.007.059.647;169;338;22-02-2021;;1.926.666.667;1.007.059.647;6;0.6
50;37;Female;Asia;Earrings;5;304;60.8;1.474.887.321;23;LinkedIn;252;52;3.04;0.206349206;131;1.666.666.667;Standard;60.8;30.4;152;50;91.2;30;60.8;20;912;08-01-2023;22-07-2022;;TRUE;6.879.203.808;152;304;19-12-2021;;1.283.333.333;6.879.203.808;5;0.6
51;45;Other;North America;Earrings;8;659;82.375;7.228.101.304;17;Instagram;429.5;229.5;6.59;0.534342258;242;2.666.666.667;Engaged;131.8;65.9;329.5;50;197.7;30;131.8;20;1977;02-05-2023;23-04-2022;;TRUE;5.769.716.694;329.5;659;26-03-2021;;2.556.666.667;5.769.716.694;8;0.6
52;64;Male;Middle East;Ring;2;1556;778;512.136.095;6;Facebook;878;678;15.56;0.772209567;514;3.333.333.333;Engaged;311.2;155.6;778;50;466.8;30;311.2;20;4668;01-12-2023;11-05-2022;;TRUE;1.196.156.145;778;1556;13-08-2020;;4.016.666.667;1.196.156.145;2;0.6
53;24;Female;Middle East;Ring;4;344;86;3.038.694.634;14;LinkedIn;272;72;3.44;0.264705882;321;2;Engaged;68.8;34.4;172;50;103.2;30;68.8;20;1032;19-02-2023;05-10-2022;;TRUE;8.827.987.644;172;344;24-08-2021;;1.813.333.333;8.827.987.644;4;0.6
54;61;Male;Middle East;Necklace;8;931;116.375;6.525.732.757;23;Instagram;565.5;365.5;9.31;0.646330681;143;2.666.666.667;Engaged;186.2;93.1;465.5;50;279.3;30;186.2;20;2793;23-04-2022;12-08-2022;;TRUE;1.321.830.947;465.5;931;06-02-2021;;14.7;1.321.830.947;8;0.6
55;25;Other;Middle East;Ring;6;1440;240;3.275.723.064;15;Facebook;820;620;14.4;0.756097561;334;3.333.333.333;Engaged;288;144;720;50;432;30;288;20;4320;07-12-2022;22-09-2022;;TRUE;1.159.510.769;720;1440;21-01-2021;;2.283.333.333;1.159.510.769;6;0.6
56;64;Other;North America;Necklace;1;1024;1024;6.198.685.789;14;Instagram;612;412;10.24;0.673202614;313;2.333.333.333;Engaged;204.8;102.4;512;50;307.2;30;204.8;20;3072;21-03-2023;15-07-2022;;TRUE;1.296.241.451;512;1024;02-12-2021;;15.8;1.296.241.451;1;0.6
57;52;Other;Asia;Bracelet;4;394;98.5;4.232.878.723;24;LinkedIn;297;97;3.94;0.326599327;121;1.333.333.333;Standard;78.8;39.4;197;50;118.2;30;78.8;20;1182;26-10-2023;02-05-2022;;TRUE;7.719.460.394;197;394;26-12-2021;;22.3;7.719.460.394;4;0.6
58;31;Male;Asia;Necklace;1;739;739;841.197.004;22;Instagram;469.5;269.5;7.39;0.574014909;112;1.333.333.333;Standard;147.8;73.9;369.5;50;221.7;30;147.8;20;2217;15-03-2023;11-06-2022;;TRUE;1.192.358.922;369.5;739;15-09-2020;;3.036.666.667;1.192.358.922;1;0.6
59;34;Male;Asia;Ring;2;955;477.5;8.386.265.447;3;LinkedIn;577.5;377.5;9.55;0.653679654;513;3;Engaged;191;95.5;477.5;50;286.5;30;191;20;2865;10-07-2022;30-08-2022;;TRUE;7.640.619.847;477.5;955;10-07-2022;;0;7.640.619.847;2;0.6
60;53;Male;Asia;Ring;5;1405;281;5.296.153.583;24;Instagram;802.5;602.5;14.05;0.750778816;134;2.666.666.667;Engaged;281;140.5;702.5;50;421.5;30;281;20;4215;11-04-2023;09-09-2022;;TRUE;1.439.068.479;702.5;1405;18-05-2021;;23.1;1.439.068.479;5;0.6
61;57;Male;Europe;Bracelet;8;116;14.5;4.157.371.984;23;Facebook;158;-42;1.16;-0.265822785;141;2;Engaged;23.2;11.6;58;50;34.8;30;23.2;20;348;08-07-2023;01-09-2022;30-12-2023;FALSE;1.136.374.282;58;116;12-02-2022;30-12-2023;1.703.333.333;1.136.374.282;8;0.6
62;21;Other;Asia;Ring;8;170;21.25;4.263.038.169;19;LinkedIn;185;-15;1.7;-0.081081081;241;2.333.333.333;Engaged;34;17;85;50;51;30;34;20;510;11-06-2023;01-06-2022;13-02-2023;FALSE;8.245.118.002;85;170;15-04-2021;13-02-2023;2.623.333.333;8.245.118.002;8;0.6
63;19;Other;Europe;Ring;3;1392;464;8.251.430.731;12;LinkedIn;796;596;13.92;0.748743719;324;3;Engaged;278.4;139.2;696;50;417.6;30;278.4;20;4176;31-08-2023;22-07-2022;;TRUE;7.695.118.623;696;1392;09-02-2022;;1.893.333.333;7.695.118.623;3;0.6
64;23;Female;Europe;Earrings;4;1448;362;3.953.615.345;2;LinkedIn;824;624;14.48;0.757281553;524;3.666.666.667;Engaged;289.6;144.8;724;50;434.4;30;289.6;20;4344;14-05-2022;22-07-2022;05-01-2024;FALSE;6.909.265.851;724;1448;23-04-2021;05-01-2024;1.286.666.667;6.909.265.851;4;0.6
65;59;Female;Middle East;Earrings;6;1917;319.5;2.881.534.363;3;Instagram;1058.5;858.5;19.17;0.811053377;535;4.333.333.333;Premium;383.4;191.7;958.5;50;575.1;30;383.4;20;5751;01-11-2022;05-10-2022;;TRUE;1.194.640.959;958.5;1917;12-08-2022;;2.7;1.194.640.959;6;0.6
66;21;Male;Europe;Bracelet;3;404;1.346.666.667;1.762.195.077;18;Instagram;302;102;4.04;0.337748344;221;1.666.666.667;Standard;80.8;40.4;202;50;121.2;30;80.8;20;1212;29-06-2022;18-05-2022;;TRUE;718.715.613;202;404;02-12-2020;;1.913.333.333;718.715.613;3;0.6
67;46;Other;North America;Necklace;2;1574;787;5.200.238.088;1;Facebook;887;687;15.74;0.774520857;514;3.333.333.333;Engaged;314.8;157.4;787;50;472.2;30;314.8;20;4722;23-10-2023;05-10-2022;;TRUE;1.095.303.266;787;1574;05-03-2022;;19.9;1.095.303.266;2;0.6
68;35;Other;Europe;Earrings;6;1130;1.883.333.333;533.918.889;20;LinkedIn;665;465;11.3;0.69924812;233;2.666.666.667;Engaged;226;113;565;50;339;30;226;20;3390;02-05-2023;21-08-2022;04-01-2023;FALSE;7.646.350.269;565;1130;29-04-2022;04-01-2023;1.226.666.667;7.646.350.269;6;0.6
69;43;Other;Middle East;Necklace;5;1437;287.4;8.568.178.394;21;LinkedIn;818.5;618.5;14.37;0.75565058;134;2.666.666.667;Engaged;287.4;143.7;718.5;50;431.1;30;287.4;20;4311;11-04-2022;15-06-2022;;TRUE;1.161.968.945;718.5;1437;27-10-2020;;17.7;1.161.968.945;5;0.6
70;61;Female;Europe;Ring;5;916;183.2;2.991.148.268;6;Instagram;558;358;9.16;0.641577061;533;3.666.666.667;Engaged;183.2;91.6;458;50;274.8;30;183.2;20;2748;04-05-2023;22-08-2022;;TRUE;1.314.939.729;458;916;02-03-2022;;1.426.666.667;1.314.939.729;5;0.6
71;51;Female;North America;Earrings;5;1226;245.2;4.428.921.463;5;Instagram;713;513;12.26;0.719495091;533;3.666.666.667;Engaged;245.2;122.6;613;50;367.8;30;245.2;20;3678;27-10-2023;05-10-2022;;TRUE;1.278.025.243;613;1226;27-10-2020;;36.5;1.278.025.243;5;0.6
72;27;Other;North America;Bracelet;5;920;184;827.565.165;1;Facebook;560;360;9.2;0.642857143;533;3.666.666.667;Engaged;184;92;460;50;276;30;184;20;2760;24-07-2022;21-05-2022;;TRUE;1.260.851.331;460;920;06-03-2021;;1.683.333.333;1.260.851.331;5;0.6
73;53;Other;North America;Bracelet;3;292;9.733.333.333;8.412.612.497;19;Facebook;246;46;2.92;0.18699187;221;1.666.666.667;Standard;58.4;29.2;146;50;87.6;30;58.4;20;876;30-07-2023;24-04-2022;;TRUE;6.877.224.057;146;292;14-08-2021;;2.383.333.333;6.877.224.057;3;0.6
74;31;Other;Middle East;Bracelet;7;1876;268;4.461.499.684;1;Instagram;1038;838;18.76;0.807321773;545;4.666.666.667;Premium;375.2;187.6;938;50;562.8;30;375.2;20;5628;12-03-2024;29-07-2022;23-03-2024;FALSE;588.384.947;938;1876;22-11-2021;23-03-2024;2.803.333.333;588.384.947;7;0.6
75;48;Female;Middle East;Earrings;6;1697;2.828.333.333;513.211.621;21;LinkedIn;948.5;748.5;16.97;0.789140749;135;3;Engaged;339.4;169.7;848.5;50;509.1;30;339.4;20;5091;16-05-2023;13-09-2022;;TRUE;1.198.948.828;848.5;1697;17-02-2022;;15.1;1.198.948.828;6;0.6
76;32;Other;Asia;Necklace;4;628;157;3.729.573.018;21;Facebook;414;214;6.28;0.516908213;122;1.666.666.667;Standard;125.6;62.8;314;50;188.4;30;125.6;20;1884;08-04-2024;12-05-2022;;TRUE;8.683.472.138;314;628;21-07-2020;;4.523.333.333;8.683.472.138;4;0.6
77;25;Other;Middle East;Ring;2;270;135;9.392.993.906;16;Instagram;235;35;2.7;0.14893617;311;1.666.666.667;Standard;54;27;135;50;81;30;54;20;810;17-10-2023;11-09-2022;;TRUE;9.323.462.264;135;270;06-06-2021;;2.876.666.667;9.323.462.264;2;0.6
78;31;Male;North America;Necklace;9;1660;1.844.444.444;2.067.793.892;12;Instagram;930;730;16.6;0.784946237;355;4.333.333.333;Premium;332;166;830;50;498;30;332;20;4980;18-09-2022;20-09-2022;;TRUE;5.311.490.928;830;1660;30-11-2021;;9.733.333.333;5.311.490.928;9;0.6
79;40;Male;North America;Necklace;1;350;350;9.403.744.807;22;LinkedIn;275;75;3.5;0.272727273;111;1;Standard;70;35;175;50;105;30;70;20;1050;28-10-2022;13-09-2022;;TRUE;7.595.764.493;175;350;12-06-2021;;1.676.666.667;7.595.764.493;1;0.6
80;57;Female;Middle East;Ring;4;1888;472;7.154.798.067;8;Instagram;1044;844;18.88;0.808429119;425;3.666.666.667;Engaged;377.6;188.8;944;50;566.4;30;377.6;20;5664;04-01-2023;17-05-2022;;TRUE;5.336.764.039;944;1888;25-06-2020;;3.076.666.667;5.336.764.039;4;0.6
81;38;Other;Europe;Ring;1;1510;1510;5.784.149.374;16;Instagram;855;655;15.1;0.766081871;314;2.666.666.667;Engaged;302;151;755;50;453;30;302;20;4530;05-01-2023;15-07-2022;02-01-2023;FALSE;1.379.185.773;755;1510;26-04-2021;02-01-2023;2.063.333.333;1.379.185.773;1;0.6
82;33;Other;Middle East;Earrings;6;1330;2.216.666.667;1.293.931.547;1;Facebook;765;565;13.3;0.738562092;534;4;Premium;266;133;665;50;399;30;266;20;3990;09-07-2023;11-09-2022;;TRUE;7.433.966.832;665;1330;17-05-2021;;26.1;7.433.966.832;6;0.6
83;62;Male;Middle East;Earrings;4;640;160;5.280.365.726;4;Instagram;420;220;6.4;0.523809524;522;3;Engaged;128;64;320;50;192;30;128;20;1920;15-07-2023;12-05-2022;;TRUE;105.733.717;320;640;28-09-2021;;2.183.333.333;105.733.717;4;0.6
84;35;Female;North America;Earrings;5;1752;350.4;4.669.732.945;10;Instagram;976;776;17.52;0.795081967;435;4;Premium;350.4;175.2;876;50;525.6;30;350.4;20;5256;05-04-2024;04-07-2022;;TRUE;5.389.793.207;876;1752;28-11-2020;;40.8;5.389.793.207;5;0.6
